name,address,average_rating,number_of_reviews,place_in_rating,award_text,years_text,distance_from,photo1,photo2,photo3,photo4,curl,f1,f2,f3,start,end,coords
Репин Бар,"Россия, Санкт-Петербург, Большая Пушкарская улица, 50","4,5 ",3 отзыва,№ 346 из 696 – Фастфуд – Санкт-Петербург,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d12396714-Reviews-Repin_Bar-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 90 руб - 670 руб,"ТИП КУХНИ: Фастфуд, Фьюжн","ВРЕМЯ ПРИЕМА ПИЩИ: Открыто допоздна, Напитки, Ужин",17:00,00:00,"(30.308547, 59.962534)"
The Americano,"Россия, Санкт-Петербург, Конюшенная площадь, 2Г","4,0 ",6 отзывов,№ 453 из 677 – Бар – Санкт-Петербург,,,"0,2 км от: Храм Спаса на Крови",,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d6118281-Reviews-The_Americano-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",УСЛУГИ: Бронирование,14:00,00:00,"(30.325992, 59.940704)"
КРАФТ БАР 1/4 Пинты,"Россия, Санкт-Петербург, улица Константина Заслонова, 25","5,0 ",2 отзыва,№ 19 из 28 – Паб с пивоварней – Санкт-Петербург,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d17378184-Reviews-Craft_Bar_1_4_Pinty-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 120 руб - 1 500 руб,"ТИП КУХНИ: Паб с пивоварней, Бар, Европейская, Русская, Гриль","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин, Бранч, Открыто допоздна, Напитки",00:00,00:00,"(30.344524, 59.91798)"
Швабен Келлер,"Россия, Санкт-Петербург, набережная канала Грибоедова, 5","3,5 ",12 отзывов,№ 406 из 640 – Паб – Санкт-Петербург,,,"0,0 км от: Каза́нский кафедра́льный собо́р","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d7695460-Reviews-Shwaben_Keller-St_Petersburg_Northwestern_District.html,ТИП КУХНИ: Паб,,,,,"(30.327654, 59.939762)"
Фк Барселона,"Россия, Санкт-Петербург, проспект Римского-Корсакова, 15","4,5 ",4 отзыва,№ 464 из 677 – Бар – Санкт-Петербург,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8346438-Reviews-Fc_Barcelona-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",,10:00,22:00,"(30.306912, 59.924551)"
Тапрум Бир Шоп & Бар,"Россия, Санкт-Петербург, улица Композиторов, 12","4,5 ",4 отзыва,№ 466 из 677 – Бар – Санкт-Петербург,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d8350520-Reviews-Taproom_Beer_Shop_Bar-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",,14:00,23:30,"(30.314871, 60.052245)"
Rock Pub,"Россия, Санкт-Петербург, Коломяжский проспект, 15к2","4,0 ",19 отзывов,№ 414 из 640 – Паб – Санкт-Петербург,,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d7272192-Reviews-Rock_Pub-St_Petersburg_Northwestern_District.html,ТИП КУХНИ: Паб,УСЛУГИ: Бронирование,,,,"(30.299429, 60.001523)"
Fusion Food & Beer,"Россия, Санкт-Петербург, Сестрорецк, улица Мосина, 8","4,5 ",3 отзыва,№ 15 из 34 – Рестораны – Сестрорецк,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g2345793-d14983549-Reviews-Fusion_Food_Beer-Sestroretsk_Kurortny_District_St_Petersburg_Northwestern_Distr.html,"ТИП КУХНИ: Японская, Пицца, Европейская, Паб, Фьюжн",,,,,"(29.965732, 60.091841)"
BarO'Beer,"Россия, Санкт-Петербург, Большая Московская улица, 9","4,5 ",4 отзыва,№ 244 из 410 – Американская – Санкт-Петербург,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",,https://www.tripadvisor.ru/Restaurant_Review-g298507-d12128625-Reviews-BarO_Beer-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 150 руб - 800 руб,"ТИП КУХНИ: Американская, Европейская, Русская",,,,"(30.346357, 59.925931)"
Дженга Бар,"Россия, Санкт-Петербург, улица Кораблестроителей, 32к3","5,0 ",2 отзыва,№ 383 из 696 – Фастфуд – Санкт-Петербург,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d14769175-Reviews-Jenga_Bar-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 300 руб - 1 500 руб,ТИП КУХНИ: Фастфуд,"ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин, Бранч, Напитки",13:00,00:00,"(30.214709, 59.953358)"
