name,address,average_rating,number_of_reviews,place_in_rating,award_text,years_text,distance_from,photo1,photo2,photo3,photo4,curl,f1,f2,f3,start,end,coords
ОСТРОВ HOOKAH BAR,"Россия, Санкт-Петербург, Фурштатская улица, 33",,,,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d15647555-Reviews-Ostrov_Hookah_Bar-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 500 руб - 2 500 руб,ТИП КУХНИ: Закусочная,,,,"(30.362643, 59.944905)"
ИДИКОМНЕ,"Россия, Санкт-Петербург, Адмиралтейский район, Казанская улица, 7",,,,,,"0,1 км от: Каза́нский кафедра́льный собо́р",,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d10501102-Reviews-IDIKOMNE-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 53 руб - 732 руб,ТИП КУХНИ: Европейская,,,,"(30.321042, 59.932378)"
Bar Come On,"Россия, Санкт-Петербург, Пушкинский район, посёлок Шушары, Новгородский проспект, 10",,,,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d15121453-Reviews-Bar_Come_On-St_Petersburg_Northwestern_District.html,ТИП КУХНИ: Паб,,,,,"(30.369282, 59.806821)"
День и Ночь,"Россия, Санкт-Петербург, Купчинская улица, 32к1А",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d6118736-Reviews-Day_Night-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб",,,,,"(30.398226, 59.828527)"
Eclectic Bar,"Россия, Санкт-Петербург, улица Радищева, 38/20",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d14918270-Reviews-Eclectic_Bar-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Американская, Фастфуд, Международная, Современная, Паб",,,,,"(30.363398, 59.941853)"
Лагуна,"Россия, Санкт-Петербург, 2-я Комсомольская улица, 27к2",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d6119157-Reviews-Laguna-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб",,,,,"(30.142547, 59.836857)"
Cheesy RoxY,"Россия, Санкт-Петербург, Колокольная улица, 3",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d12497421-Reviews-Cheesy_RoxY-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 500 руб - 2 000 руб,ТИП КУХНИ: Европейская,,,,"(30.34995, 59.928492)"
Абсент бар,"Россия, Санкт-Петербург, Колпино, Октябрьская улица, 4А",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g2393864-d8344128-Reviews-Absent-Kolpino_Kolpinsky_District_St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб",,,,,"(30.617522, 59.74266)"
Шашлык-Машлык,"Россия, Санкт-Петербург, Колпино, улица Танкистов, 28А",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g2393864-d8349643-Reviews-Shashlyk_Mashlyk-Kolpino_Kolpinsky_District_St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Завтрак, Обед, Ужин",,00:00,23:59,"(30.561521, 59.744714)"
Заимка,"Россия, Санкт-Петербург, Пушкин, Малиновская улица, 11",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g811323-d8351464-Reviews-Zaimka-Pushkin_Pushkinsky_District_St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",,11:00,23:00,"(30.421151, 59.697701)"
Терем,"Россия, Санкт-Петербург, Колпино, проспект Ленина, 41к2",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g2393864-d8350591-Reviews-Terem-Kolpino_Kolpinsky_District_St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб",,,,,"(30.573047, 59.750703)"
Coverdale,"Россия, Санкт-Петербург, набережная канала Грибоедова, 36",,,,,,"0,0 км от: Каза́нский кафедра́льный собо́р",,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d6117940-Reviews-Coverdale-St_Petersburg_Northwestern_District.html,ТИП КУХНИ: Паб,,,,,"(30.322075, 59.930633)"
Darmagi Cocktail Bar,"Россия, Санкт-Петербург, Каменноостровский проспект, 44/16Б",,,,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d18718981-Reviews-Darmagi_Cocktail_Bar-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 50 руб - 7 000 руб,"ТИП КУХНИ: Бар, Винный бар","ВРЕМЯ ПРИЕМА ПИЩИ: Открыто допоздна, Напитки",00:00,00:00,"(30.307972, 59.969205)"
Якобы бар,"Россия, Санкт-Петербург, проспект Авиаконструкторов, 32к2",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d3757234-Reviews-Yakoby_Bar-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб",ВРЕМЯ ПРИЕМА ПИЩИ: Ужин,УСЛУГИ: Бронирование,,,"(30.224384, 60.026303)"
Ibiza,"Россия, Санкт-Петербург, Сестрорецк, Приморское шоссе, 37-й километр, 1",,,,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",,,,https://www.tripadvisor.ru/Restaurant_Review-g2345793-d6117729-Reviews-Ibiza-Sestroretsk_Kurortny_District_St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб",,,,,"(29.961788, 60.116078)"
Lounge P.S. Bar,"Россия, Санкт-Петербург, Невский проспект, 81",,,,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d20360469-Reviews-Lounge_P_S_Bar-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 600 руб - 1 500 руб,"ТИП КУХНИ: Европейская, Русская, Грузинская","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин, Открыто допоздна, Напитки",15:00,03:00,"(30.359508, 59.930944)"
Bar Comeback,"Россия, Санкт-Петербург, Разъезжая улица, 34",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d15231501-Reviews-Bar_Comeback-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 150 руб - 600 руб,"ТИП КУХНИ: Европейская, Азиатская, Грузинская",,,,"(30.35066, 59.922774)"
Ноу Рутс Бар,"Россия, Санкт-Петербург, улица Правды, 17",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d15010700-Reviews-No_Roots_Bar-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 1 000 руб - 1 500 руб,ТИП КУХНИ: Европейская,,,,"(30.338829, 59.92148)"
Mishka Shop&Bar,"Россия, Санкт-Петербург, Каштановая аллея, 3",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d15010491-Reviews-Mishka_Shop_Bar-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 180 руб - 700 руб,"ТИП КУХНИ: Фастфуд, Гриль",ВРЕМЯ ПРИЕМА ПИЩИ: Ужин,00:00,02:00,"(30.392647, 59.844032)"
Валета,"Россия, Санкт-Петербург, Опочинина улица, 27",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d3759712-Reviews-Valeta-St_Petersburg_Northwestern_District.html,ТИП КУХНИ: Паб,ВРЕМЯ ПРИЕМА ПИЩИ: Ужин,УСЛУГИ: Бронирование,,,"(30.238281, 59.93296)"
QUINTA. Porto & Cocktails,"Россия, Санкт-Петербург, улица Жуковского, 1",,,,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d13003260-Reviews-QUINTA_Porto_Cocktails-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Европейская, Португальская",ВРЕМЯ ПРИЕМА ПИЩИ: Ужин,,,,"(30.349456, 59.935845)"
Цифровой бар D3C0D3 | DECODE,"Россия, Санкт-Петербург, Большой проспект Васильевского острова, 22",,,,,,"0,5 км от: Сфинксы у Академии художеств",,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d10122314-Reviews-Digital_Bar_D3C0D3_DECODE-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб",,,,,"(30.282487, 59.938531)"
Hand Werpen Pub,"Россия, Санкт-Петербург, Ждановская набережная, 7",,,,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d10841690-Reviews-Hand_Werpen_Pub-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 250 руб - 350 руб,ТИП КУХНИ: Паб,,,,"(30.288425, 59.953493)"
AMA Lounge Bar,"Россия, Санкт-Петербург, Можайская улица, 31",,,,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d15339747-Reviews-AMA_Lounge_Bar-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 280 руб - 999 руб,ТИП КУХНИ: Русская,"ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин, Напитки",14:00,23:45,"(30.328409, 59.914922)"
Бар Повторить?,"Россия, Санкт-Петербург, улица Радищева, 38/20",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d11045487-Reviews-Bar_Povtorit-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 150 руб - 600 руб,ТИП КУХНИ: Американская,,,,"(30.363398, 59.941853)"
Чик'с Бар,"Россия, Санкт-Петербург, Садовая улица, 42",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8345721-Reviews-Chik_s_Bar-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",,13:00,07:00,"(30.315913, 59.925723)"
Палата №6,"Россия, Санкт-Петербург, улица Чехова, 17/9",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d20175806-Reviews-Ward_No_6-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 200 руб - 1 000 руб,ТИП КУХНИ: Европейская,,,,"(30.35331, 59.938689)"
На Волне,"Россия, Санкт-Петербург, 6-я Красноармейская улица, 9",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8348214-Reviews-Na_Volne-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",,11:00,23:00,"(30.314548, 59.91254)"
Holy Hop,"Россия, Санкт-Петербург, Новоколомяжский проспект, 11",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d18716377-Reviews-Holy_Hop-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 130 руб - 450 руб,"ТИП КУХНИ: Бар, Европейская, Паб, Закусочная, Восточноевропейская",,,,"(30.29403, 60.029058)"
Hoptimist Bar,"Россия, Санкт-Петербург, Невский проспект, 103",,,,,,"0,4 км от: Госуда́рственный Эрмита́ж",,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d14179043-Reviews-Hoptimist_Bar-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 200 руб - 720 руб,"ТИП КУХНИ: Бар, Паб",,,,"(30.368051, 59.929628)"
То Место,"Россия, Санкт-Петербург, 7-я Красноармейская улица, 3Б",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8350694-Reviews-To_Mesto-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Завтрак, Обед, Ужин",,08:00,23:00,"(30.316901, 59.91198)"
Бирлога,"Россия, Санкт-Петербург, Центральный район, улица Некрасова, 25",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d7695282-Reviews-Beerloga-St_Petersburg_Northwestern_District.html,ТИП КУХНИ: Паб,,,,,"(30.359185, 59.938608)"
BarStudio 1/28,"Россия, Санкт-Петербург, Центральный район, улица Ломоносова, 1",,,,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d14945550-Reviews-BarStudio_1_28-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 150 руб - 500 руб,"ТИП КУХНИ: Итальянская, Бар, Испанская, Паб, Винный бар, Русская","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин, Открыто допоздна, Напитки",00:00,23:45,"(30.326774, 59.932315)"
Кости бар,"Россия, Санкт-Петербург, Ковенский переулок, 22-24",,,,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d11850386-Reviews-Kosti_Bar-St_Petersburg_Northwestern_District.html,"ВРЕМЯ ПРИЕМА ПИЩИ: Завтрак, Ужин",,,,,"(30.362338, 59.937436)"
Животоff,"Россия, Санкт-Петербург, проспект Королёва, 61",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8351688-Reviews-Zhivotoff-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",,00:00,00:00,"(30.243419, 60.031207)"
Brewmen Taproom,"Россия, Санкт-Петербург, набережная реки Мойки, 56",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d19629299-Reviews-Brewmen_Taproom-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 180 руб - 800 руб,ТИП КУХНИ: Европейская,,,,"(30.315024, 59.932518)"
Талисман,"Россия, Санкт-Петербург, Тимуровская улица, 26к1",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8350501-Reviews-Talisman-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Завтрак, Обед, Ужин",,09:00,00:00,"(30.409616, 60.043179)"
Всевсад,"Россия, Санкт-Петербург, улица Восстания, 37-39",,,,,,"0,3 км от: Невский проспект",,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8351300-Reviews-Vsevsad-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",,,,"(30.360919, 59.939717)"
Встреча,"Россия, Санкт-Петербург, проспект Авиаконструкторов, 32к2",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8351310-Reviews-Vstrecha-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",,00:00,03:00,"(30.224384, 60.026303)"
Сансет Лаунж,"Россия, Санкт-Петербург, Большой проспект Петроградской стороны, 41Б",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8350336-Reviews-Sunset_Lounge-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб",ВРЕМЯ ПРИЕМА ПИЩИ: Ужин,,16:00,01:00,"(30.304504, 59.960453)"
Шейкер,"Россия, Санкт-Петербург, Каменноостровский проспект, 47",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8349551-Reviews-Shaker-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Завтрак, Обед, Ужин",,00:00,23:59,"(30.308655, 59.969205)"
Руспина,"Россия, Санкт-Петербург, улица Седова, 20/32",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8349338-Reviews-Ruspina-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",,11:00,23:00,"(30.41056, 59.896224)"
